,Clearances,Interceptions,Tackles,Aerials won,Duels won,Possession lost,Dribbles,Crosses,Long balls,Accurate passes,Passes,Goalkeeper saves,Shots outside box,Shots inside box,Big chances,Yellow cards,Fouls,Offsides,Corner kicks,Blocked shots,Shots off target,Shots on target,Total shots,Ball possession,Counter attack shots,Counter attacks,Big chances missed,Hit woodwork,Counter attack goals,Red cards,Results
Round 1,14.0,12.0,12.0,12.0,49.0,127.0,0.47,0.14,0.54,0.89,563.0,0.0,9.0,3.0,0.0,3.0,9.0,2.0,11.0,3.0,5.0,4.0,12.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Round 2,9.0,8.0,12.0,16.0,52.0,126.0,0.54,0.33,0.47,0.85,548.0,2.0,8.0,7.0,2.0,3.0,18.0,1.0,4.0,4.0,6.0,5.0,15.0,0.57,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Round 3,1.0,7.0,10.0,11.0,52.0,141.0,0.7,0.16,0.58,0.9,703.0,0.0,7.0,11.0,1.0,2.0,14.0,0.0,8.0,7.0,9.0,2.0,18.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Round 4,9.0,14.0,10.0,14.0,48.0,138.0,0.48,0.24,0.57,0.86,616.0,3.0,12.0,6.0,1.0,3.0,9.0,1.0,9.0,6.0,4.0,8.0,18.0,0.71,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
Round 5,33.0,13.0,13.0,22.0,59.0,141.0,0.5,0.11,0.41,0.66,271.0,1.0,6.0,5.0,3.0,2.0,22.0,3.0,3.0,1.0,5.0,5.0,11.0,0.39,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Round 6,18.0,5.0,25.0,14.0,69.0,140.0,0.56,0.13,0.49,0.84,483.0,4.0,3.0,3.0,1.0,3.0,14.0,2.0,1.0,0.0,3.0,3.0,6.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Round 7,21.0,15.0,18.0,13.0,58.0,130.0,0.67,0.11,0.32,0.79,406.0,3.0,6.0,5.0,1.0,4.0,20.0,1.0,4.0,2.0,3.0,6.0,11.0,0.5,1.0,2.0,0.0,0.0,1.0,0.0,1.0
Round 8,11.0,13.0,15.0,15.0,56.0,169.0,0.4,0.11,0.52,0.85,592.0,2.0,5.0,8.0,0.0,1.0,11.0,1.0,7.0,3.0,9.0,1.0,13.0,0.68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Round 9,8.0,12.0,7.0,9.0,37.0,142.0,0.45,0.18,0.72,0.88,636.0,2.0,14.0,7.0,1.0,3.0,6.0,2.0,12.0,8.0,5.0,8.0,21.0,0.72,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
Round 10,11.0,10.0,13.0,11.0,44.0,129.0,0.47,0.12,0.39,0.86,503.0,1.0,8.0,10.0,2.0,2.0,17.0,2.0,7.0,2.0,7.0,9.0,18.0,0.54,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Round 11,13.0,10.0,7.0,12.0,44.0,110.0,0.53,0.18,0.72,0.92,498.0,4.0,6.0,6.0,2.0,6.0,21.0,0.0,5.0,6.0,4.0,2.0,12.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Round 12,9.0,14.0,18.0,10.0,53.0,147.0,0.53,0.2,0.43,0.8,485.0,3.0,5.0,11.0,2.0,6.0,15.0,3.0,4.0,6.0,5.0,5.0,16.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Round 13,3.0,11.0,11.0,21.0,48.0,146.0,0.69,0.23,0.65,0.89,659.0,1.0,10.0,19.0,3.0,2.0,14.0,3.0,15.0,11.0,16.0,2.0,29.0,0.74,0.0,0.0,3.0,2.0,0.0,0.0,-1.0
Round 14,24.0,6.0,17.0,10.0,49.0,127.0,0.5,0.21,0.54,0.84,458.0,6.0,7.0,4.0,2.0,0.0,13.0,0.0,5.0,1.0,5.0,5.0,11.0,0.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Round 15,8.0,8.0,13.0,8.0,39.0,131.0,0.47,0.08,0.62,0.87,561.0,5.0,6.0,5.0,0.0,1.0,17.0,3.0,5.0,2.0,4.0,5.0,11.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Round 16,27.0,12.0,9.0,18.0,45.0,119.0,0.83,0.0,0.44,0.83,471.0,1.0,5.0,3.0,1.0,1.0,13.0,1.0,2.0,2.0,4.0,2.0,8.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Round 17,20.0,21.0,15.0,23.0,69.0,129.0,0.72,0.22,0.41,0.81,434.0,2.0,1.0,9.0,4.0,2.0,19.0,2.0,4.0,2.0,4.0,4.0,10.0,0.51,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Round 18,14.0,12.0,10.0,4.0,40.0,96.0,0.67,0.16,0.35,0.87,445.0,7.0,7.0,4.0,0.0,4.0,14.0,3.0,4.0,3.0,6.0,2.0,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Round 19,10.0,8.0,22.0,15.0,62.0,122.0,0.82,0.23,0.65,0.89,551.0,3.0,10.0,8.0,4.0,1.0,11.0,1.0,5.0,3.0,10.0,5.0,18.0,0.64,0.0,0.0,3.0,1.0,0.0,0.0,-1.0
